startId,endId,count
GENE_4283,GENE_3627,136
GENE_3627,GENE_4283,136
GENE_1576,GENE_5243,136
GENE_1636,GENE_6868,136
GENE_1674,GENE_9564,136
GENE_43740568,GENE_290,135
GENE_7124,GENE_5972,135
GENE_5972,GENE_7124,135
GENE_290,GENE_43740568,135
GENE_5788,GENE_925,134
GENE_3553,GENE_3458,134
GENE_3565,GENE_3552,134
GENE_3458,GENE_3553,134
GENE_3559,GENE_3558,134
GENE_3558,GENE_3559,134
GENE_3552,GENE_3565,134
GENE_925,GENE_5788,134
GENE_5972,GENE_185,133
GENE_6868,GENE_185,133
GENE_7113,GENE_1958,133
GENE_3606,GENE_3458,133
GENE_3458,GENE_3606,133
